epoch,step,batch,total,spa,exp,col,tv
1,8,-1,3.233537405729294,5.809496101960576e-07,0.2986483462154865,0.006047573464456946,0.0010840773684321903
2,16,-1,3.188490569591522,3.24554472186378e-07,0.29835908487439156,0.005887060397071764,0.0008773208610364236
3,24,-1,3.1500851213932037,2.7533334190366077e-07,0.2981074620038271,0.005847485706908628,0.0006988638997427188
4,32,-1,3.1205749809741974,3.0655013461000635e-07,0.29777976125478745,0.005893150781048462,0.0005665563439833932
5,40,-1,3.095160961151123,4.912145925572986e-07,0.2973906025290489,0.005975170497549698,0.00045689275066251867
