file,psnr_ours_vs_official,ssim_ours_vs_official,mae_ours_vs_official,psnr_ours_vs_original,ssim_ours_vs_original,mae_ours_vs_original,psnr_official_vs_original,ssim_official_vs_original,mae_official_vs_original
DICM/01.jpg,17.033073989972717,0.41578925,0.09322099387645721,34.965059360546576,0.9489612,0.00840197317302227,16.873445664816757,0.3882917,0.09548494219779968
DICM/02.jpg,14.453376740010375,0.5431891,0.1623181849718094,32.6630916928097,0.9329342,0.015997614711523056,14.267412349423543,0.52775216,0.16623687744140625
DICM/03.jpg,13.996959626273695,0.4775498,0.16279342770576477,36.55572678731947,0.932753,0.009746716357767582,13.853288654437517,0.45467314,0.16594575345516205
DICM/04.jpg,13.07852445905004,0.6377898,0.17597490549087524,37.35164856897268,0.9404561,0.00932389497756958,12.94932519119068,0.63016075,0.17931640148162842
DICM/05.jpg,14.284144784112671,0.69493437,0.15799735486507416,38.10276608132345,0.9574587,0.008766276761889458,14.065010976161492,0.6865398,0.16267283260822296
DICM/06.jpg,12.952643122047986,0.3687036,0.19247746467590332,37.838158848485826,0.9452777,0.008810511790215969,12.840254589446864,0.3674368,0.1951354444026947
DICM/07.jpg,17.021642094447536,0.68656355,0.10417588800191879,38.1973826493453,0.95035106,0.00819888710975647,16.845769449914325,0.6753028,0.10754500329494476
DICM/08.jpg,17.678998752218522,0.3748298,0.08554884046316147,34.07910102762236,0.94727737,0.009967229329049587,17.58136586940588,0.36004052,0.08706513792276382
DICM/09.jpg,12.64389049884567,0.5962451,0.20943836867809296,34.165745240883105,0.9193296,0.01404288224875927,12.473664558243755,0.5720821,0.21409235894680023
DICM/10.jpg,13.256947325504083,0.76217395,0.1680389791727066,35.76319286112914,0.9510749,0.010451392270624638,13.085928440800858,0.747135,0.1726117730140686
DICM/11.jpg,14.354141418335015,0.6708922,0.17097610235214233,37.095310606087644,0.9491682,0.010259400121867657,14.167815401648458,0.6612268,0.17555342614650726
DICM/12.jpg,18.238869638408868,0.29422164,0.07300257682800293,42.07692928614176,0.97028375,0.003993056248873472,18.177735261598112,0.30172884,0.07354468107223511
DICM/13.jpg,16.118964182720582,0.38171974,0.10085220634937286,39.663057170250006,0.96369773,0.00544397160410881,16.02215749241012,0.3815522,0.10196536779403687
DICM/14.jpg,16.805776401013446,0.38216114,0.08887651562690735,39.96152129022977,0.9669943,0.005003958474844694,16.70741195536744,0.39342442,0.08972809463739395
DICM/15.jpg,13.495447899293938,0.6771204,0.17009733617305756,34.98319092173118,0.952549,0.011647547595202923,13.352765804809321,0.6689518,0.17381086945533752
DICM/16.jpg,13.430134540283907,0.51367086,0.1888311803340912,35.79980346324715,0.92436916,0.011233039200305939,13.283355500200695,0.49445942,0.1925608366727829
DICM/17.jpg,13.357127729902318,0.39001155,0.17930281162261963,38.22161398210538,0.94601965,0.008322285488247871,13.255524883614363,0.383968,0.1818452924489975
DICM/18.jpg,21.071606337946296,0.43086448,0.04457599297165871,38.02928972697085,0.95710355,0.005121883936226368,20.972278184470298,0.43508384,0.04511082544922829
DICM/19.jpg,12.562178014877748,0.36781028,0.1995765119791031,35.948900184060356,0.93016404,0.010511870495975018,12.462168604535606,0.3617661,0.20231515169143677
DICM/20.jpg,17.054579772055114,0.31788087,0.09895888715982437,34.69702749207566,0.9347543,0.009924943558871746,16.984066721490528,0.30791357,0.1005159392952919
DICM/21.jpg,14.160147974357642,0.3845614,0.15725794434547424,38.56175167118955,0.94899017,0.007802133914083242,14.09139366873788,0.38643384,0.15906338393688202
